1	450.415	154.488	646.341	467.537	383.512	279.951	716.049	657.61	596.683	139.146	686.463	567.829	410.415	242.951	0.749618	
-0	1	0.342443	1.44374	1.02306	0.848147	0.624174	1.60384	1.47283	1.32731	0.298659	1.52368	1.25719	0.904452	0.540138	0.0105762	
-0	-0	1	-10.7482	14.9716	0.971957	-4.78195	-14.8777	-16.9617	-4.47642	7.07261	-1.78108	3.50289	8.85073	-2.42279	17.2982	
0	0	0	1	-1.34306	-0.102329	0.417976	1.39209	1.43995	0.349229	-0.724798	0.0471798	-0.321389	-0.766369	0.221614	-1.59041	
-0	-0	-0	-0	1	0.119873	-0.391729	-0.415618	-0.335051	0.385527	0.192976	0.533066	0.5896	0.377916	-0.270358	0.897127	
-0	-0	-0	-0	-0	1	1.30883	0.770418	-0.508476	-1.77459	0.28006	-2.70457	-1.29631	-0.161887	1.29771	-1.87853	
-0	-0	-0	-0	-0	-0	1	-0.0523777	-1.06323	-1.49195	-0.170285	-2.17279	-1.80677	-0.852059	1.02867	-2.35765	
0	0	0	0	0	0	0	1	-0.358086	-1.10457	-1.28105	-1.89361	-0.471245	0.326839	0.610649	-1.14632	
0	0	0	0	0	0	0	0	1	0.745921	-0.184786	0.332139	-0.00579013	-0.317044	0.447803	-0.366097	
-0	-0	-0	-0	-0	-0	-0	-0	-0	1	-12.4543	-19.2456	3.13484	-7.03516	8.04445	-5.9883	
0	0	0	6.46011e-08	0	0	0	0	0	0	1	1.66809	-0.0964879	0.658247	-0.748202	0.746064	
-0	-0	-0	5.64219e-06	-0	-1.41055e-06	-0	-0	-0	-0	-0	1	-4.0281	-15.1908	17.5912	-28.22	
-0	-0	-0	-0	-0	-0	8.24349e-08	-0	-0	-0	-0	-4.12175e-08	1	9.74412	-9.45308	14.3484	
0	0	1.4575e-09	0	0	0	0	0	0	0	0	0	-5.83002e-09	1	-1.08616	1.56116	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1.45355	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
